alias,market,season,opp_alias,opp_market,win
PENN,Pennsylvania,2017,KU,Kansas,FALSE
CLEM,Clemson,2017,AUB,Auburn,TRUE
MSU,Michigan State,2017,SYR,Syracuse,FALSE
CLEM,Clemson,2017,NMSU,New Mexico State,TRUE
PROV,Providence,2017,TXAM,Texas A&M,FALSE
L-IL,Loyola (IL),2017,NEV,Nevada,TRUE
ALA,Alabama,2017,VT,Virginia Tech,TRUE
KU,Kansas,2017,VILL,Villanova,FALSE
KU,Kansas,2017,CLEM,Clemson,TRUE
FLA,Florida,2017,TTU,Texas Tech,FALSE
BUFF,Buffalo,2017,ARIZ,Arizona,TRUE
DUKE,Duke,2017,KU,Kansas,FALSE
GONZ,Gonzaga,2017,UNCG,UNC Greensboro,TRUE
VILL,Villanova,2017,MICH,Michigan,TRUE
VILL,Villanova,2017,KU,Kansas,TRUE
URI,Rhode Island,2017,OKLA,Oklahoma,TRUE
UK,Kentucky,2017,KSU,Kansas State,FALSE
OKLA,Oklahoma,2017,URI,Rhode Island,FALSE
UMBC,UMBC,2017,KSU,Kansas State,FALSE
WVU,West Virginia,2017,MRSH,Marshall,TRUE
FSU,Florida State,2017,GONZ,Gonzaga,TRUE
MICH,Michigan,2017,FSU,Florida State,TRUE
HOU,Houston,2017,SDSU,San Diego State,TRUE
UVA,Virginia,2017,UMBC,UMBC,FALSE
VILL,Villanova,2017,TTU,Texas Tech,TRUE
AUB,Auburn,2017,CLEM,Clemson,FALSE
L-IL,Loyola (IL),2017,MICH,Michigan,FALSE
TXAM,Texas A&M,2017,UNC,North Carolina,TRUE
TENN,Tennessee,2017,WRST,Wright State,TRUE
CLEM,Clemson,2017,KU,Kansas,FALSE
MIA,Miami (FL),2017,L-IL,Loyola (IL),FALSE
HOU,Houston,2017,MICH,Michigan,FALSE
NEV,Nevada,2017,L-IL,Loyola (IL),FALSE
MICH,Michigan,2017,VILL,Villanova,FALSE
CSF,Cal State Fullerton,2017,PUR,Purdue,FALSE
CREI,Creighton,2017,KSU,Kansas State,FALSE
SYR,Syracuse,2017,TCU,TCU,TRUE
CIN,Cincinnati,2017,GAST,Georgia State,TRUE
TENN,Tennessee,2017,L-IL,Loyola (IL),FALSE
VILL,Villanova,2017,RAD,Radford,TRUE
NCST,North Carolina State,2017,HALL,Seton Hall,FALSE
KSU,Kansas State,2017,CREI,Creighton,TRUE
ARIZ,Arizona,2017,BUFF,Buffalo,FALSE
WICH,Wichita State,2017,MRSH,Marshall,FALSE
DUKE,Duke,2017,URI,Rhode Island,TRUE
SYR,Syracuse,2017,MSU,Michigan State,TRUE
MICH,Michigan,2017,HOU,Houston,TRUE
NMSU,New Mexico State,2017,CLEM,Clemson,FALSE
ARK,Arkansas,2017,BUT,Butler,FALSE
WVU,West Virginia,2017,VILL,Villanova,FALSE
BUT,Butler,2017,PUR,Purdue,FALSE
FSU,Florida State,2017,MICH,Michigan,FALSE
KSU,Kansas State,2017,L-IL,Loyola (IL),FALSE
URI,Rhode Island,2017,DUKE,Duke,FALSE
XAV,Xavier,2017,TXSO,Texas Southern,TRUE
KSU,Kansas State,2017,UK,Kentucky,TRUE
SYR,Syracuse,2017,DUKE,Duke,FALSE
WRST,Wright State,2017,TENN,Tennessee,FALSE
DUKE,Duke,2017,IONA,Iona,TRUE
FLA,Florida,2017,SBON,St. Bonaventure,TRUE
DAV,Davidson,2017,UK,Kentucky,FALSE
UNCG,UNC Greensboro,2017,GONZ,Gonzaga,FALSE
SDST,South Dakota State,2017,OSU,Ohio State,FALSE
OSU,Ohio State,2017,SDST,South Dakota State,TRUE
NEV,Nevada,2017,TEX,Texas,TRUE
TTU,Texas Tech,2017,SFA,Stephen F. Austin,TRUE
XAV,Xavier,2017,FSU,Florida State,FALSE
DUKE,Duke,2017,SYR,Syracuse,TRUE
UK,Kentucky,2017,DAV,Davidson,TRUE
MRSH,Marshall,2017,WICH,Wichita State,TRUE
MIZZ,Missouri,2017,FSU,Florida State,FALSE
SFA,Stephen F. Austin,2017,TTU,Texas Tech,FALSE
BUFF,Buffalo,2017,UK,Kentucky,FALSE
FSU,Florida State,2017,MIZZ,Missouri,TRUE
OSU,Ohio State,2017,GONZ,Gonzaga,FALSE
HALL,Seton Hall,2017,KU,Kansas,FALSE
TTU,Texas Tech,2017,VILL,Villanova,FALSE
VT,Virginia Tech,2017,ALA,Alabama,FALSE
KSU,Kansas State,2017,UMBC,UMBC,TRUE
FSU,Florida State,2017,XAV,Xavier,TRUE
VILL,Villanova,2017,WVU,West Virginia,TRUE
AUB,Auburn,2017,COFC,Charleston,TRUE
COFC,Charleston,2017,AUB,Auburn,FALSE
MONT,Montana,2017,MICH,Michigan,FALSE
UNC,North Carolina,2017,TXAM,Texas A&M,FALSE
NEV,Nevada,2017,CIN,Cincinnati,TRUE
L-IL,Loyola (IL),2017,KSU,Kansas State,TRUE
MICH,Michigan,2017,TXAM,Texas A&M,TRUE
BUCK,Bucknell,2017,MSU,Michigan State,FALSE
UK,Kentucky,2017,BUFF,Buffalo,TRUE
TXAM,Texas A&M,2017,MICH,Michigan,FALSE
TCU,TCU,2017,SYR,Syracuse,FALSE
MURR,Murray State,2017,WVU,West Virginia,FALSE
MSU,Michigan State,2017,BUCK,Bucknell,TRUE
MICH,Michigan,2017,MONT,Montana,TRUE
VILL,Villanova,2017,ALA,Alabama,TRUE
KU,Kansas,2017,DUKE,Duke,TRUE
TXSO,Texas Southern,2017,XAV,Xavier,FALSE
MRSH,Marshall,2017,WVU,West Virginia,FALSE
L-IL,Loyola (IL),2017,TENN,Tennessee,TRUE
TEX,Texas,2017,NEV,Nevada,FALSE
IONA,Iona,2017,DUKE,Duke,FALSE
MICH,Michigan,2017,L-IL,Loyola (IL),TRUE
TXAM,Texas A&M,2017,PROV,Providence,TRUE
CIN,Cincinnati,2017,NEV,Nevada,FALSE
UMBC,UMBC,2017,UVA,Virginia,TRUE
GONZ,Gonzaga,2017,FSU,Florida State,FALSE
TTU,Texas Tech,2017,PUR,Purdue,TRUE
KU,Kansas,2017,HALL,Seton Hall,TRUE
HALL,Seton Hall,2017,NCST,North Carolina State,TRUE
ALA,Alabama,2017,VILL,Villanova,FALSE
LIP,Lipscomb,2017,UNC,North Carolina,FALSE
GONZ,Gonzaga,2017,OSU,Ohio State,TRUE
KU,Kansas,2017,PENN,Pennsylvania,TRUE
PUR,Purdue,2017,BUT,Butler,TRUE
PUR,Purdue,2017,TTU,Texas Tech,FALSE
TTU,Texas Tech,2017,FLA,Florida,TRUE
SBON,St. Bonaventure,2017,FLA,Florida,FALSE
RAD,Radford,2017,VILL,Villanova,FALSE
WVU,West Virginia,2017,MURR,Murray State,TRUE
BUT,Butler,2017,ARK,Arkansas,TRUE
GAST,Georgia State,2017,CIN,Cincinnati,FALSE
SDSU,San Diego State,2017,HOU,Houston,FALSE
L-IL,Loyola (IL),2017,MIA,Miami (FL),TRUE
PUR,Purdue,2017,CSF,Cal State Fullerton,TRUE
UNC,North Carolina,2017,LIP,Lipscomb,TRUE
GONZ,Gonzaga,2016,WVU,West Virginia,TRUE
SMC,Saint Mary's,2016,ARIZ,Arizona,FALSE
MSM,Mount St. Mary's,2016,VILL,Villanova,FALSE
SDST,South Dakota State,2016,GONZ,Gonzaga,FALSE
UK,Kentucky,2016,UNC,North Carolina,FALSE
VT,Virginia Tech,2016,WIS,Wisconsin,FALSE
BUT,Butler,2016,MTU,Middle Tennessee,TRUE
CREI,Creighton,2016,URI,Rhode Island,FALSE
NW,Northwestern,2016,GONZ,Gonzaga,FALSE
UK,Kentucky,2016,UCLA,UCLA,TRUE
ND,Notre Dame,2016,WVU,West Virginia,FALSE
SMU,SMU,2016,USC,USC,FALSE
GONZ,Gonzaga,2016,UNC,North Carolina,FALSE
ARIZ,Arizona,2016,XAV,Xavier,FALSE
SCAR,South Carolina,2016,MARQ,Marquette,TRUE
MTU,Middle Tennessee,2016,BUT,Butler,FALSE
NMSU,New Mexico State,2016,BAY,Baylor,FALSE
UCLA,UCLA,2016,UK,Kentucky,FALSE
BUT,Butler,2016,WIN,Winthrop,TRUE
ARK,Arkansas,2016,UNC,North Carolina,FALSE
UK,Kentucky,2016,NKU,Northern Kentucky,TRUE
VAN,Vanderbilt,2016,NW,Northwestern,FALSE
SCAR,South Carolina,2016,GONZ,Gonzaga,FALSE
MSU,Michigan State,2016,MIA,Miami (FL),TRUE
UNC,North Carolina,2016,ORE,Oregon,TRUE
UNC,North Carolina,2016,GONZ,Gonzaga,TRUE
SMC,Saint Mary's,2016,VCU,Virginia Commonwealth,TRUE
WICH,Wichita State,2016,UK,Kentucky,FALSE
ORE,Oregon,2016,UNC,North Carolina,FALSE
WVU,West Virginia,2016,GONZ,Gonzaga,FALSE
PUR,Purdue,2016,ISU,Iowa State,TRUE
ARIZ,Arizona,2016,SMC,Saint Mary's,TRUE
FLA,Florida,2016,UVA,Virginia,TRUE
OKST,Oklahoma State,2016,MICH,Michigan,FALSE
USC,USC,2016,SMU,SMU,TRUE
NKU,Northern Kentucky,2016,UK,Kentucky,FALSE
PUR,Purdue,2016,UVM,Vermont,TRUE
MTU,Middle Tennessee,2016,MINN,Minnesota,TRUE
ORE,Oregon,2016,URI,Rhode Island,TRUE
ISU,Iowa State,2016,NEV,Nevada,TRUE
BUT,Butler,2016,UNC,North Carolina,FALSE
FSU,Florida State,2016,XAV,Xavier,FALSE
ORE,Oregon,2016,IONA,Iona,TRUE
ORE,Oregon,2016,MICH,Michigan,TRUE
LOU,Louisville,2016,JVST,Jacksonville State,TRUE
UVA,Virginia,2016,FLA,Florida,FALSE
VCU,Virginia Commonwealth,2016,SMC,Saint Mary's,FALSE
XAV,Xavier,2016,FSU,Florida State,TRUE
LOU,Louisville,2016,MICH,Michigan,FALSE
FGCU,Florida Gulf Coast,2016,FSU,Florida State,FALSE
KSU,Kansas State,2016,CIN,Cincinnati,FALSE
FLA,Florida,2016,SCAR,South Carolina,FALSE
BUCK,Bucknell,2016,WVU,West Virginia,FALSE
MINN,Minnesota,2016,MTU,Middle Tennessee,FALSE
MIA,Miami (FL),2016,MSU,Michigan State,FALSE
ORE,Oregon,2016,KU,Kansas,TRUE
XAV,Xavier,2016,ARIZ,Arizona,TRUE
WICH,Wichita State,2016,DAY,Dayton,TRUE
SCAR,South Carolina,2016,BAY,Baylor,TRUE
WVU,West Virginia,2016,ND,Notre Dame,TRUE
FSU,Florida State,2016,FGCU,Florida Gulf Coast,TRUE
KU,Kansas,2016,PUR,Purdue,TRUE
BAY,Baylor,2016,USC,USC,TRUE
WVU,West Virginia,2016,BUCK,Bucknell,TRUE
NW,Northwestern,2016,VAN,Vanderbilt,TRUE
UNC,North Carolina,2016,UK,Kentucky,TRUE
ISU,Iowa State,2016,PUR,Purdue,FALSE
UNC,North Carolina,2016,ARK,Arkansas,TRUE
URI,Rhode Island,2016,ORE,Oregon,FALSE
XAV,Xavier,2016,GONZ,Gonzaga,FALSE
GONZ,Gonzaga,2016,XAV,Xavier,TRUE
KU,Kansas,2016,UCD,UC Davis,TRUE
USC,USC,2016,BAY,Baylor,FALSE
SCAR,South Carolina,2016,DUKE,Duke,TRUE
WIS,Wisconsin,2016,VT,Virginia Tech,TRUE
UK,Kentucky,2016,WICH,Wichita State,TRUE
UCD,UC Davis,2016,KU,Kansas,FALSE
MARQ,Marquette,2016,SCAR,South Carolina,FALSE
NEV,Nevada,2016,ISU,Iowa State,FALSE
KU,Kansas,2016,ORE,Oregon,FALSE
FLA,Florida,2016,ETSU,East Tennessee State,TRUE
DAY,Dayton,2016,WICH,Wichita State,FALSE
WIS,Wisconsin,2016,VILL,Villanova,TRUE
URI,Rhode Island,2016,CREI,Creighton,TRUE
ARIZ,Arizona,2016,UND,North Dakota,TRUE
UNC,North Carolina,2016,BUT,Butler,TRUE
UVM,Vermont,2016,PUR,Purdue,FALSE
UNC,North Carolina,2016,TXSO,Texas Southern,TRUE
SCAR,South Carolina,2016,FLA,Florida,TRUE
FLA,Florida,2016,WIS,Wisconsin,TRUE
CIN,Cincinnati,2016,KSU,Kansas State,TRUE
KENT,Kent State,2016,UCLA,UCLA,FALSE
XAV,Xavier,2016,MD,Maryland,TRUE
IONA,Iona,2016,ORE,Oregon,FALSE
ETSU,East Tennessee State,2016,FLA,Florida,FALSE
GONZ,Gonzaga,2016,SCAR,South Carolina,TRUE
PUR,Purdue,2016,KU,Kansas,FALSE
WIS,Wisconsin,2016,FLA,Florida,FALSE
BAY,Baylor,2016,NMSU,New Mexico State,TRUE
DUKE,Duke,2016,SCAR,South Carolina,FALSE
JVST,Jacksonville State,2016,LOU,Louisville,FALSE
VILL,Villanova,2016,WIS,Wisconsin,FALSE
BAY,Baylor,2016,SCAR,South Carolina,FALSE
MICH,Michigan,2016,OKST,Oklahoma State,TRUE
KU,Kansas,2016,MSU,Michigan State,TRUE
GONZ,Gonzaga,2016,NW,Northwestern,TRUE
UND,North Dakota,2016,ARIZ,Arizona,FALSE
ND,Notre Dame,2016,PRIN,Princeton,TRUE
MD,Maryland,2016,XAV,Xavier,FALSE
UCLA,UCLA,2016,CIN,Cincinnati,TRUE
MICH,Michigan,2016,ORE,Oregon,FALSE
ARK,Arkansas,2016,HALL,Seton Hall,TRUE
WIN,Winthrop,2016,BUT,Butler,FALSE
UVA,Virginia,2016,UNCW,North Carolina-Wilmington,TRUE
PRIN,Princeton,2016,ND,Notre Dame,FALSE
UCLA,UCLA,2016,KENT,Kent State,TRUE
UNCW,North Carolina-Wilmington,2016,UVA,Virginia,FALSE
TXSO,Texas Southern,2016,UNC,North Carolina,FALSE
MSU,Michigan State,2016,KU,Kansas,FALSE
GONZ,Gonzaga,2016,SDST,South Dakota State,TRUE
MICH,Michigan,2016,LOU,Louisville,TRUE
VILL,Villanova,2016,MSM,Mount St. Mary's,TRUE
CIN,Cincinnati,2016,UCLA,UCLA,FALSE
TROY,Troy,2016,DUKE,Duke,FALSE
DUKE,Duke,2016,TROY,Troy,TRUE
HALL,Seton Hall,2016,ARK,Arkansas,FALSE
XAV,Xavier,2015,WIS,Wisconsin,FALSE
HAW,Hawaii,2015,CAL,California,TRUE
YALE,Yale,2015,DUKE,Duke,FALSE
KU,Kansas,2015,MD,Maryland,TRUE
UK,Kentucky,2015,IND,Indiana,FALSE
IOWA,Iowa,2015,VILL,Villanova,FALSE
PEAY,Austin Peay,2015,KU,Kansas,FALSE
UNC,North Carolina,2015,SYR,Syracuse,TRUE
IONA,Iona,2015,ISU,Iowa State,FALSE
MD,Maryland,2015,SDST,South Dakota State,TRUE
BUT,Butler,2015,TTU,Texas Tech,TRUE
UNC,North Carolina,2015,FGCU,Florida Gulf Coast,TRUE
GONZ,Gonzaga,2015,UTAH,Utah,TRUE
ORE,Oregon,2015,DUKE,Duke,TRUE
UVA,Virginia,2015,HAMP,Hampton,TRUE
ISU,Iowa State,2015,UVA,Virginia,FALSE
BAY,Baylor,2015,YALE,Yale,FALSE
SFA,Stephen F. Austin,2015,WVU,West Virginia,TRUE
ISU,Iowa State,2015,UALR,Arkansas-Little Rock,TRUE
TEX,Texas,2015,UNI,Northern Iowa,FALSE
ORE,Oregon,2015,OKLA,Oklahoma,FALSE
OKLA,Oklahoma,2015,ORE,Oregon,TRUE
VCU,Virginia Commonwealth,2015,OKLA,Oklahoma,FALSE
ND,Notre Dame,2015,WIS,Wisconsin,TRUE
CIN,Cincinnati,2015,JOES,Saint Joseph's (PA),FALSE
WIS,Wisconsin,2015,XAV,Xavier,TRUE
COLO,Colorado,2015,CONN,Connecticut,FALSE
UNCW,North Carolina-Wilmington,2015,DUKE,Duke,FALSE
STON,Stony Brook,2015,UK,Kentucky,FALSE
UALR,Arkansas-Little Rock,2015,ISU,Iowa State,FALSE
UVA,Virginia,2015,SYR,Syracuse,FALSE
SYR,Syracuse,2015,DAY,Dayton,TRUE
TXAM,Texas A&M,2015,GB,Green Bay,TRUE
MD,Maryland,2015,KU,Kansas,FALSE
PROV,Providence,2015,UNC,North Carolina,FALSE
VILL,Villanova,2015,UNCA,UNC Asheville,TRUE
KU,Kansas,2015,CONN,Connecticut,TRUE
DUKE,Duke,2015,YALE,Yale,TRUE
TXAM,Texas A&M,2015,UNI,Northern Iowa,TRUE
OKLA,Oklahoma,2015,VILL,Villanova,FALSE
UNC,North Carolina,2015,ND,Notre Dame,TRUE
HAMP,Hampton,2015,UVA,Virginia,FALSE
BUFF,Buffalo,2015,MIA,Miami (FL),FALSE
ND,Notre Dame,2015,MICH,Michigan,TRUE
TEM,Temple,2015,IOWA,Iowa,FALSE
OKLA,Oklahoma,2015,TXAM,Texas A&M,TRUE
IND,Indiana,2015,UNC,North Carolina,FALSE
SYR,Syracuse,2015,UVA,Virginia,TRUE
FRES,Fresno State,2015,UTAH,Utah,FALSE
ISU,Iowa State,2015,IONA,Iona,TRUE
PITT,Pittsburgh,2015,WIS,Wisconsin,FALSE
ORST,Oregon State,2015,VCU,Virginia Commonwealth,FALSE
IND,Indiana,2015,CHAT,Chattanooga,TRUE
JOES,Saint Joseph's (PA),2015,ORE,Oregon,FALSE
MD,Maryland,2015,HAW,Hawaii,TRUE
WIS,Wisconsin,2015,PITT,Pittsburgh,TRUE
UNC,North Carolina,2015,IND,Indiana,TRUE
TXAM,Texas A&M,2015,OKLA,Oklahoma,FALSE
HC,Holy Cross,2015,ORE,Oregon,FALSE
CONN,Connecticut,2015,KU,Kansas,FALSE
MTU,Middle Tennessee,2015,SYR,Syracuse,FALSE
VILL,Villanova,2015,OKLA,Oklahoma,TRUE
TTU,Texas Tech,2015,BUT,Butler,FALSE
ORE,Oregon,2015,HC,Holy Cross,TRUE
