alias,market,season,conf_alias,wins,losses,win_pct,off_ptsperposs,def_ptsperposs,net_ptsperposs,possperg,adj_off_ptsperposs,adj_def_ptsperposs,adj_net_ptsperposs,adj_possperg,off_sd,def_sd,opp_adj_net_ptsperposs,seed,tournament_wins
VILL,Villanova,2017,BIGEAST,30,4,0.882352941,1.237665161,0.988028862,0.249636299,70.34117647,1.349360149,0.946084228,0.403275921,69.9468902,0.147316656,0.126021797,0.075604313,1,6
MICH,Michigan,2017,BIG10,28,7,0.8,1.141080655,0.957630038,0.183450617,65.25142857,1.189623102,0.907002131,0.282620971,63.28863568,0.155428729,0.127102867,0.069230475,3,5
L-IL,Loyola (IL),2017,MVC,28,5,0.848484848,1.109872759,0.941338222,0.168534538,65.25454545,1.148219416,0.907239717,0.240979699,63.27301923,0.138252005,0.102412181,-0.006331278,11,4
KU,Kansas,2017,BIG12,27,7,0.794117647,1.166442162,1.007350484,0.159091678,69.87058824,1.225408861,0.985519803,0.239889058,69.70601055,0.15086714,0.138048961,0.098050537,1,4
FSU,Florida State,2017,ACC,20,11,0.64516129,1.120986999,1.010061242,0.110925757,72.9483871,1.160295072,0.997011893,0.163283179,74.92229604,0.123069518,0.166304469,0.05177747,9,3
DUKE,Duke,2017,ACC,26,7,0.787878788,1.194342364,0.966019009,0.228323355,70.91515152,1.280266694,0.915047614,0.36521908,71.73523768,0.14728529,0.116386129,0.097937038,2,3
TTU,Texas Tech,2017,BIG12,24,9,0.727272727,1.110663804,0.937966787,0.172697017,67.74545455,1.139108498,0.888601177,0.250507321,66.20637991,0.122751116,0.134904279,0.065307186,3,3
KSU,Kansas State,2017,BIG12,22,11,0.666666667,1.091008772,1.02283105,0.068177722,66.32727273,1.10515982,1.00290289,0.102256931,64.52774563,0.185305999,0.139158777,0.060835015,9,3
UK,Kentucky,2017,SEC,24,10,0.705882353,1.104478876,1.012025745,0.09245313,69.47647059,1.139992053,0.991680088,0.148311965,69.53966756,0.153504486,0.08843552,0.112871592,5,2
PUR,Purdue,2017,BIG10,28,6,0.823529412,1.189531775,0.957857695,0.231674081,68.21764706,1.268600889,0.920943921,0.347656968,68.01045619,0.163293539,0.153815889,0.07811799,2,2
CLEM,Clemson,2017,ACC,23,9,0.71875,1.08484456,0.972209399,0.112635161,67.55,1.104073438,0.932005029,0.17206841,66.52561376,0.14543646,0.101532054,0.088631664,5,2
NEV,Nevada,2017,MWC,27,7,0.794117647,1.173270205,1.020593081,0.152677124,70.81764706,1.254610518,1.000046684,0.254563834,71.27848724,0.142123196,0.132302723,0.056622026,7,2
TXAM,Texas A&M,2017,SEC,20,12,0.625,1.059228529,0.989634092,0.069594436,70.80625,1.064766904,0.95370039,0.111066514,71.11611975,0.137122885,0.139148661,0.096120637,7,2
SYR,Syracuse,2017,ACC,20,13,0.606060606,1.038773418,0.98229109,0.056482328,65.02424242,1.030477856,0.94727176,0.083206096,62.89160455,0.145312623,0.133726467,0.091566965,11,2
GONZ,Gonzaga,2017,WCC,30,4,0.882352941,1.198081735,0.953216374,0.244865361,70.52941176,1.268832078,0.907839158,0.36099292,71.49548471,0.133441325,0.117088615,0.01774627,4,2
WVU,West Virginia,2017,BIG12,24,10,0.705882353,1.125290988,0.99322608,0.132064908,70.75294118,1.167183555,0.973673806,0.193509748,71.46190626,0.128280972,0.186966864,0.070590418,5,2
UNC,North Carolina,2017,ACC,25,10,0.714285714,1.131844721,1.020579086,0.111265636,72.42285714,1.193071909,0.994930655,0.198141254,74.49727627,0.145295238,0.112407274,0.134821856,2,1
OSU,Ohio State,2017,BIG10,24,8,0.75,1.118281553,0.979528137,0.138753415,67.79375,1.153032028,0.950204376,0.202827652,67.12862547,0.131794451,0.136066317,0.104582248,5,1
UMBC,UMBC,2017,AE,24,10,0.705882353,1.062759029,1.004764336,0.057994693,69.54705882,1.068361288,0.998460344,0.069900944,69.43651481,0.165310102,0.127355341,-0.052596562,16,1
HOU,Houston,2017,AAC,26,7,0.787878788,1.133439801,0.956677088,0.176762713,68.30909091,1.178709287,0.917702536,0.261006752,68.26762052,0.110494813,0.138486244,0.039007231,6,1
FLA,Florida,2017,SEC,20,12,0.625,1.11040146,1.003432081,0.106969379,68.5,1.14054217,0.983466163,0.157076007,67.98331035,0.1656817,0.139860417,0.092949979,6,1
AUB,Auburn,2017,SEC,25,7,0.78125,1.14280819,1.004710921,0.138097269,72.95625,1.193176267,0.987128024,0.206048243,74.73356236,0.119278941,0.112641484,0.057317147,4,1
ALA,Alabama,2017,SEC,19,15,0.558823529,1.044497283,0.99698265,0.047514632,69.27058824,1.043071906,0.971825234,0.071246672,69.03575738,0.129220547,0.133652149,0.091624843,9,1
URI,Rhode Island,2017,A10,25,7,0.78125,1.100279809,0.989977221,0.110302588,69.24375,1.127360262,0.961610721,0.165749541,69.48240943,0.164511866,0.127470236,0.048236891,7,1
XAV,Xavier,2017,BIGEAST,28,5,0.848484848,1.166820509,1.024935368,0.14188514,72.22424242,1.228523452,1.010518622,0.21800483,72.89512332,0.124392535,0.139981845,0.086519282,1,1
HALL,Seton Hall,2017,BIGEAST,21,11,0.65625,1.110427831,1.027145359,0.083282472,71.14375,1.146203208,1.008811158,0.13739205,71.38185014,0.132593703,0.101944967,0.084612786,8,1
CIN,Cincinnati,2017,AAC,30,4,0.882352941,1.128342246,0.855947137,0.272395109,66,1.166911148,0.77860943,0.388301717,64.47251564,0.132467261,0.135980455,0.025776619,2,1
TENN,Tennessee,2017,SEC,25,8,0.757575758,1.101070048,0.983834755,0.117235292,67.4,1.138741233,0.943146931,0.195594302,66.3872525,0.157314579,0.14453315,0.08831251,3,1
BUFF,Buffalo,2017,MAC,26,8,0.764705882,1.131298069,1.017999526,0.113298543,74.95294118,1.180453058,1.002980918,0.17747214,77.26199656,0.14165785,0.11058348,0.024691338,13,1
MRSH,Marshall,2017,CUSA,24,10,0.705882353,1.097869405,1.019166413,0.078702992,76.75294118,1.125250414,1.01197698,0.113273434,79.95454361,0.111179003,0.122077826,0.031050007,13,1
MSU,Michigan State,2017,BIG10,29,4,0.878787879,1.195418754,0.941767245,0.253651509,67.73333333,1.262906261,0.899976951,0.36292931,66.88744073,0.151442538,0.126098606,0.057377424,3,1
BUT,Butler,2017,BIGEAST,20,13,0.606060606,1.101037362,1.027725483,0.073311878,71.86060606,1.125304675,1.006715803,0.118588872,72.38640417,0.144909274,0.165710989,0.100904305,10,1
TXSO,Texas Southern,2017,SWAC,15,19,0.441176471,1.068393363,1.086398974,-0.018005611,72.67647059,1.101703713,1.101816775,-0.000113062,73.96275008,0.152810061,0.139535892,-0.03850731,16,0
SBON,St. Bonaventure,2017,A10,25,7,0.78125,1.124188312,1.003267685,0.120920626,69.3,1.167745866,0.97614568,0.191600187,69.75961722,0.14178653,0.151349489,0.026064447,11,0
PROV,Providence,2017,BIGEAST,21,13,0.617647059,1.043731778,1.029926642,0.013805136,70.61764706,1.041284958,1.011195104,0.030089854,70.27140207,0.14108564,0.118623772,0.098880368,10,0
NMSU,New Mexico State,2017,WAC,28,5,0.848484848,1.089453533,0.913511636,0.175941897,69.64848485,1.106829706,0.87264649,0.234183216,68.91513447,0.124726728,0.126580732,-0.034305232,12,0
WICH,Wichita State,2017,AAC,25,7,0.78125,1.178245054,1.012057807,0.166187247,70.44375,1.250656551,1.008295468,0.242361083,71.10517873,0.124828102,0.172961505,0.055425556,4,0
SDST,South Dakota State,2017,SUMMIT,28,6,0.823529412,1.175631622,1.013279678,0.162351944,72.17647059,1.228232654,1.000889443,0.227343211,72.53386355,0.16002137,0.106889044,-0.016095529,12,0
COFC,Charleston,2017,COLONIAL,26,7,0.787878788,1.133058985,1.03702011,0.096038875,66.27272727,1.160992975,1.02461058,0.136382395,64.60082095,0.145687386,0.123134885,-0.027197539,13,0
OKLA,Oklahoma,2017,BIG12,18,13,0.580645161,1.106454317,1.059793987,0.04666033,76.96774194,1.137506484,1.058654145,0.078852339,80.62919422,0.125166003,0.117688082,0.085761692,10,0
NCST,North Carolina State,2017,ACC,21,11,0.65625,1.121515491,1.035096864,0.086418628,72.41875,1.147394343,1.041398841,0.105995502,74.17744132,0.136350496,0.105158258,0.064664075,9,0
WRST,Wright State,2017,HORIZON,25,9,0.735294118,1.030412501,0.93598123,0.094431271,70.01764706,1.028857038,0.894859027,0.133998011,69.51936574,0.144088349,0.116678171,-0.017164667,14,0
RAD,Radford,2017,BIGSOUTH,22,12,0.647058824,1.057736721,1.003669725,0.054066996,63.67647059,1.074843103,0.979500597,0.095342506,61.47633839,0.130151887,0.147915766,-0.001830932,16,0
TEX,Texas,2017,BIG12,19,14,0.575757576,1.043650794,0.991280606,0.052370188,68.72727273,1.041496293,0.956487479,0.085008814,67.94106389,0.131539032,0.14097989,0.09959264,10,0
MURR,Murray State,2017,OVC,26,5,0.838709677,1.168242146,0.961120045,0.207122101,67.56774194,1.218073275,0.941232701,0.276840574,66.4487717,0.131614325,0.128091036,-0.048955688,12,0
ARK,Arkansas,2017,SEC,23,11,0.676470588,1.132238193,1.061420187,0.070818006,71.61764706,1.170494713,1.07096234,0.099532373,72.48947592,0.136115067,0.150473934,0.074523857,7,0
UNCG,UNC Greensboro,2017,SOUTHERN,27,7,0.794117647,1.077839144,0.933620917,0.144218227,68.16470588,1.081583677,0.892104007,0.18947967,67.14332237,0.142592887,0.129099943,-0.041151888,13,0
TCU,TCU,2017,BIG12,21,11,0.65625,1.165832675,1.061506203,0.104326472,71.19375,1.224259723,1.063291013,0.160968709,71.7938583,0.129262908,0.125693051,0.101241779,6,0
VT,Virginia Tech,2017,ACC,21,11,0.65625,1.13711331,1.024542615,0.112570695,70.10625,1.172657225,1.015916434,0.15674079,70.47104025,0.156819232,0.128432584,0.060658337,8,0
DAV,Davidson,2017,A10,21,11,0.65625,1.169999043,1.034845874,0.135153169,65.33125,1.246333804,1.018903178,0.227430626,63.57250715,0.187628457,0.116756066,0.022064907,12,0
MONT,Montana,2017,BIGSKY,26,7,0.787878788,1.101426985,0.975148336,0.126278648,70.92727273,1.129659256,0.946510587,0.18314867,70.83272169,0.12269849,0.11368261,-0.011618912,14,0
UVA,Virginia,2017,ACC,31,2,0.939393939,1.113831701,0.880031965,0.233799736,60.64242424,1.151749679,0.802404307,0.349345372,56.43379707,0.126023617,0.130751755,0.088361364,1,0
LIP,Lipscomb,2017,AS,23,9,0.71875,1.071196886,1.004373886,0.066823,77.075,1.088458665,0.981209622,0.107249043,79.6973447,0.135501231,0.122806568,-0.015993012,15,0
SFA,Stephen F. Austin,2017,SOUTHLAND,28,6,0.823529412,1.105191476,0.931017849,0.174173627,73.42352941,1.120613587,0.901071871,0.219541716,73.77440049,0.123983495,0.109825766,-0.066400862,14,0
CREI,Creighton,2017,BIGEAST,21,11,0.65625,1.149420389,1.015044021,0.134376368,73.325,1.184331646,1.004416209,0.179915437,74.45112041,0.127548681,0.128576543,0.055116924,8,0
PENN,Pennsylvania,2017,IVY,24,8,0.75,1.071960733,0.9581517,0.113809033,71.30625,1.076506712,0.931034543,0.145472169,71.84011242,0.168768737,0.140868263,-0.010622807,16,0
GAST,Georgia State,2017,SUNBELT,24,10,0.705882353,1.094537995,0.984001376,0.110536618,68.81764706,1.127556999,0.965386605,0.162170394,67.87018954,0.137412361,0.162940048,-0.00926681,15,0
CSF,Cal State Fullerton,2017,BIGWEST,20,11,0.64516129,1.047241188,0.992684042,0.054557146,69.92258065,1.048705556,0.973297573,0.075407983,70.32857955,0.158463048,0.12077042,-0.032646862,15,0
SDSU,San Diego State,2017,MWC,22,10,0.6875,1.102320206,0.974439462,0.127880744,70.30625,1.123072431,0.93750638,0.185566051,70.21102695,0.107729955,0.149700157,0.027744167,11,0
BUCK,Bucknell,2017,PATRIOT,25,9,0.735294118,1.1125,0.996219434,0.116280566,72.94117647,1.154027472,0.966888295,0.187139176,74.91266543,0.123692289,0.130229217,-0.01035286,14,0
IONA,Iona,2017,MAAC,20,13,0.606060606,1.098924014,1.058729356,0.040194657,72.66060606,1.140598671,1.057347782,0.083250888,73.8874722,0.142219122,0.101939807,0.009960099,15,0
MIA,Miami (FL),2017,ACC,22,9,0.709677419,1.079545455,0.99612696,0.083418494,68.69677419,1.102871271,0.962297554,0.140573717,68.39401194,0.163097979,0.155986443,0.063845547,6,0
ARIZ,Arizona,2017,PAC12,27,7,0.794117647,1.17793198,1.02006407,0.15786791,68.66470588,1.243891385,1.002827586,0.241063799,67.92842292,0.145205581,0.125815969,0.046084881,4,0
MIZZ,Missouri,2017,SEC,20,12,0.625,1.094873471,0.993616051,0.10125742,66.93125,1.122532602,0.969807077,0.152725525,65.39609963,0.152606688,0.144460394,0.068516335,8,0
UNC,North Carolina,2016,ACC,27,7,0.794117647,1.167785778,0.980720529,0.187065248,72.71176471,1.232468804,0.936059993,0.296408811,74.42805382,0.147866025,0.157545476,0.08349764,1,6
GONZ,Gonzaga,2016,WCC,32,1,0.96969697,1.195289079,0.867509243,0.327779837,70.75757576,1.275518271,0.796349993,0.479168278,71.7177289,0.134516842,0.115225934,0.029704443,1,5
SCAR,South Carolina,2016,SEC,22,10,0.6875,1.014428999,0.924614557,0.089814442,71.0375,1.002839805,0.878606072,0.124233733,71.57539527,0.132006973,0.135886705,0.053037412,7,4
ORE,Oregon,2016,PAC12,29,5,0.852941176,1.152000685,0.931731985,0.220268701,68.65294118,1.202131047,0.887856258,0.314274789,67.92964624,0.139702657,0.108219114,0.039921479,3,4
XAV,Xavier,2016,BIGEAST,21,13,0.617647059,1.093251745,1.039506384,0.053745361,68.25294118,1.125170545,1.022101132,0.103069414,67.83645434,0.128198262,0.135684338,0.099086673,11,3
FLA,Florida,2016,SEC,24,8,0.75,1.115514784,0.93143257,0.184082215,70.175,1.172995203,0.865076776,0.307918427,70.14270504,0.150715284,0.129781053,0.095047924,4,3
UK,Kentucky,2016,SEC,29,5,0.852941176,1.154393173,0.956761006,0.197632167,74.44705882,1.213961143,0.914364845,0.299596298,76.58630899,0.120639135,0.109798797,0.081380543,2,3
KU,Kansas,2016,BIG12,28,4,0.875,1.15237266,1.008974471,0.143398189,71.78125,1.219818166,0.981308231,0.238509935,72.77497798,0.111321658,0.127689348,0.10512774,1,3
BAY,Baylor,2016,BIG12,25,7,0.78125,1.117782688,0.966763006,0.151019682,65.05625,1.157790349,0.928969909,0.228820439,62.80910817,0.136119482,0.118984125,0.093212,3,2
BUT,Butler,2016,BIGEAST,23,8,0.741935484,1.146944714,1.014257009,0.132687705,66.51612903,1.204025369,0.993367593,0.210657776,65.14570388,0.124968018,0.132614211,0.098750059,4,2
WVU,West Virginia,2016,BIG12,26,8,0.764705882,1.136994125,0.919657423,0.217336703,72.09411765,1.178878762,0.869261296,0.309617466,73.6185378,0.11043408,0.149445437,0.06886902,4,2
PUR,Purdue,2016,BIG10,25,7,0.78125,1.136222636,0.946696035,0.189526601,70.51875,1.185820645,0.900096684,0.285723961,70.96423676,0.119151307,0.115715547,0.070482824,4,2
MICH,Michigan,2016,BIG10,24,11,0.685714286,1.173780488,1.022828607,0.150951881,63.72571429,1.252569141,1.011487598,0.241081543,60.98019009,0.178599311,0.161112843,0.089104111,7,2
WIS,Wisconsin,2016,BIG10,25,9,0.735294118,1.102397692,0.940286409,0.162111283,65.25882353,1.130418827,0.890304437,0.24011439,62.99063585,0.142713274,0.138655621,0.062209139,8,2
ARIZ,Arizona,2016,PAC12,30,4,0.882352941,1.143197249,0.968317521,0.174879728,66.71176471,1.198064106,0.9300461,0.268018006,65.11867604,0.119598842,0.122053666,0.080274061,2,2
UCLA,UCLA,2016,PAC12,29,4,0.878787879,1.208559617,1.009256252,0.199303365,74.76969697,1.288921667,0.999798763,0.289122904,77.58137355,0.143238962,0.113756785,0.030461896,3,2
UVA,Virginia,2016,ACC,22,10,0.6875,1.087355853,0.908812417,0.178543436,61.24375,1.116720672,0.83289191,0.283828762,57.51920584,0.155729445,0.15827928,0.10095771,5,1
SMC,Saint Mary's,2016,WCC,28,4,0.875,1.193906104,0.927750411,0.266155694,60.30625,1.277117585,0.881696525,0.39542106,56.1177987,0.166183929,0.163129553,0.029895967,7,1
LOU,Louisville,2016,ACC,24,8,0.75,1.128856129,0.952617777,0.176238351,68.68125,1.175083473,0.900675855,0.274407617,68.60208575,0.150294178,0.155209986,0.126964133,2,1
ISU,Iowa State,2016,BIG12,23,10,0.696969697,1.132467753,1.000926784,0.131540969,71.41818182,1.18700977,0.971703247,0.215306523,71.68271187,0.142304638,0.132475652,0.107658538,5,1
VILL,Villanova,2016,BIGEAST,31,3,0.911764706,1.197406601,0.944773874,0.252632728,64.87058824,1.282254658,0.894612403,0.387642255,62.71731953,0.163266809,0.130302757,0.069261797,1,1
MSU,Michigan State,2016,BIG10,19,14,0.575757576,1.067851665,1.001865175,0.06598649,67.16969697,1.089538019,0.977853851,0.111684169,65.80085203,0.134468071,0.118289364,0.106627613,9,1
USC,USC,2016,PAC12,24,9,0.727272727,1.119686126,1.025477707,0.094208419,70.28484848,1.15333579,1.011953538,0.141382251,70.3949705,0.110302264,0.113597856,0.048726528,11,1
WICH,Wichita State,2016,AAC,30,4,0.882352941,1.181802779,0.886430063,0.295372716,69.43529412,1.247296495,0.834625007,0.412671488,69.80990693,0.15804726,0.154721792,-0.016555255,10,1
NW,Northwestern,2016,BIG10,23,11,0.676470588,1.066260808,0.980844271,0.085416537,66.67058824,1.078135474,0.959668944,0.11846653,65.26732443,0.155205065,0.112126623,0.063139201,8,1
FSU,Florida State,2016,ACC,25,8,0.757575758,1.146939808,0.992740165,0.154199642,71.89090909,1.189855751,0.962921636,0.226934115,73.08071407,0.137298484,0.109708128,0.089144528,3,1
URI,Rhode Island,2016,A10,24,9,0.727272727,1.097560976,0.962853031,0.134707944,66.84242424,1.132884062,0.929250441,0.20363362,65.78569728,0.169601552,0.133387704,0.046559683,11,1
MTU,Middle Tennessee,2016,CUSA,30,4,0.882352941,1.136809269,0.962191634,0.174617635,66,1.183700719,0.928709965,0.254990754,63.83434722,0.15146755,0.121124358,-0.002927501,12,1
DUKE,Duke,2016,ACC,27,8,0.771428571,1.173316708,1.002132196,0.171184512,68.74285714,1.243974953,0.971286258,0.272688696,68.26979659,0.14624719,0.144527033,0.109515722,2,1
ND,Notre Dame,2016,ACC,25,9,0.735294118,1.146959606,1.01308878,0.133870826,68.00588235,1.195610334,0.994542452,0.201067882,67.43662356,0.116937613,0.104383587,0.0968892,5,1
ARK,Arkansas,2016,SEC,25,9,0.735294118,1.115726271,1.041908233,0.073818038,71.51764706,1.155493437,1.048185347,0.107308091,71.9495498,0.109792019,0.139423377,0.068480431,8,1
CIN,Cincinnati,2016,AAC,29,5,0.852941176,1.141363145,0.920338229,0.221024916,65.24705882,1.183587048,0.87407683,0.309510219,63.54156614,0.131380774,0.149322891,0.053748294,6,1
UVM,Vermont,2016,AE,29,5,0.852941176,1.139719285,0.9375,0.202219285,64.54117647,1.183793691,0.896506236,0.287287456,62.3370365,0.153754846,0.150651243,-0.035817772,13,0
PRIN,Princeton,2016,IVY,23,6,0.793103448,1.104012672,0.946290203,0.157722469,65.31034483,1.152371813,0.904609206,0.247762607,63.03687673,0.147783893,0.106194762,-0.024721943,12,0
CREI,Creighton,2016,BIGEAST,25,9,0.735294118,1.122096295,1.003664495,0.118431799,73.18235294,1.150964171,0.984706688,0.166257483,74.93039689,0.13856592,0.132728757,0.050690154,6,0
KENT,Kent State,2016,MAC,22,13,0.628571429,1.07071832,1.002376238,0.068342082,71.83428571,1.07118869,0.99169412,0.07949457,71.69417695,0.141568156,0.1212715,-0.01322123,14,0
HALL,Seton Hall,2016,BIGEAST,21,11,0.65625,1.061634537,1.012806638,0.048827899,69.05625,1.069094194,0.991336562,0.077757632,68.84390956,0.126671396,0.111085538,0.073121668,9,0
NEV,Nevada,2016,MWC,28,6,0.823529412,1.133766992,0.996447162,0.13731983,70.53529412,1.190369452,0.980101719,0.210267733,71.01180679,0.132821901,0.112976135,0.026162633,12,0
MARQ,Marquette,2016,BIGEAST,19,12,0.612903226,1.166225951,1.068867231,0.09735872,70.75483871,1.229429595,1.080305075,0.149124519,71.60799179,0.162731334,0.141231856,0.067396413,10,0
UCD,UC Davis,2016,BIGWEST,22,12,0.647058824,0.995347291,0.979842757,0.015504535,70.8,0.978384824,0.961400991,0.016983833,71.15156555,0.107469648,0.12006792,-0.054386787,16,0
WIN,Winthrop,2016,BIGSOUTH,26,6,0.8125,1.096261281,0.962543927,0.133717353,72.71875,1.127609781,0.937514269,0.190095512,74.39526523,0.140980037,0.110933787,-0.039203519,13,0
